gpu,framework,batch_size,hours,failed
t4,jax,64,8.7,1
a100,pytorch,64,7.3,0
h100,pytorch,32,1.3,0
t4,pytorch,16,2.1,0
l4,pytorch,128,5.4,0
l4,pytorch,32,3.5,0
a100,jax,16,0.7,0
l4,jax,128,1.7,1
l4,jax,32,5.1,0
a100,jax,32,1.4,1
h100,jax,16,5.5,0
l4,pytorch,16,5.4,0
l4,jax,64,2.9,1
h100,pytorch,16,1.9,0
l4,jax,256,10.3,1
a100,jax,32,7.2,1
l4,pytorch,32,7.2,0
a100,pytorch,128,5.8,0
a100,jax,32,4.3,1
t4,jax,32,3.5,1
t4,pytorch,64,3.9,0
l4,pytorch,64,3.5,1
h100,pytorch,32,13.3,0
a100,pytorch,256,1.2,0
h100,jax,32,8.3,0
h100,pytorch,128,3.7,0
a100,jax,32,6.1,0
h100,pytorch,256,6.5,0
l4,jax,128,4.2,1
t4,pytorch,256,5.1,1
l4,pytorch,64,1.7,0
a100,pytorch,256,0.9,1
a100,pytorch,64,2.9,1
t4,pytorch,64,2.3,1
a100,pytorch,128,4.0,0
t4,pytorch,128,1.9,1
l4,jax,16,4.1,0
a100,pytorch,256,4.4,1
h100,pytorch,32,6.9,0
l4,pytorch,16,1.6,0
l4,jax,32,6.2,0
h100,pytorch,64,12.1,0
h100,jax,16,4.9,0
l4,jax,128,4.1,0
l4,jax,256,12.5,1
a100,pytorch,32,11.5,0
l4,jax,32,2.3,0
h100,pytorch,16,1.6,0
t4,pytorch,128,8.3,1
l4,jax,64,1.4,0
l4,pytorch,64,10.0,0
l4,jax,16,5.1,0
h100,pytorch,64,2.4,0
l4,pytorch,16,3.2,0
h100,jax,16,8.4,0
t4,pytorch,16,0.4,0
l4,jax,16,0.6,0
a100,pytorch,128,7.1,0
t4,jax,64,5.6,1
a100,jax,16,4.4,0
t4,jax,32,4.5,0
h100,pytorch,256,2.5,0
h100,jax,256,5.8,1
l4,pytorch,64,8.3,1
a100,pytorch,16,3.6,0
t4,jax,64,10.1,1
t4,pytorch,128,1.2,1
l4,pytorch,16,4.9,0
a100,pytorch,32,2.3,0
l4,pytorch,32,4.5,0
h100,pytorch,32,1.9,0
t4,pytorch,32,9.4,0
t4,pytorch,64,10.6,1
h100,pytorch,256,8.2,1
a100,pytorch,256,2.3,0
h100,jax,64,2.4,0
l4,pytorch,32,2.6,0
h100,pytorch,16,3.7,0
h100,pytorch,128,4.3,0
h100,pytorch,256,3.8,0
t4,pytorch,64,2.2,1
l4,jax,256,14.1,1
a100,pytorch,256,7.3,0
t4,pytorch,256,7.5,1
a100,pytorch,256,4.3,1
a100,pytorch,32,3.3,0
a100,jax,256,8.1,1
l4,jax,64,1.1,0
t4,pytorch,128,10.3,1
l4,pytorch,128,0.9,1
a100,pytorch,32,16.8,0
h100,pytorch,16,5.3,0
l4,pytorch,256,8.8,1
t4,pytorch,64,7.3,1
a100,pytorch,256,5.5,1
l4,pytorch,32,4.4,1
h100,pytorch,128,6.7,0
t4,pytorch,256,10.4,1
t4,pytorch,16,4.2,1
a100,pytorch,16,0.7,0
h100,pytorch,128,9.0,0
a100,pytorch,256,1.7,0
a100,pytorch,256,1.9,1
a100,pytorch,16,8.4,0
t4,pytorch,16,1.1,1
t4,pytorch,256,5.3,1
h100,jax,64,2.9,0
t4,pytorch,64,0.8,0
t4,pytorch,32,5.8,0
a100,jax,16,1.7,0
l4,jax,32,10.6,1
t4,pytorch,32,6.7,0
l4,pytorch,64,7.9,0
l4,jax,256,5.6,1
l4,pytorch,64,3.3,0
t4,pytorch,16,10.9,1
t4,pytorch,16,4.0,1
h100,jax,256,0.5,0
h100,pytorch,256,4.2,1
l4,pytorch,256,8.5,1
a100,pytorch,256,8.6,1
a100,pytorch,32,1.6,0
l4,pytorch,32,5.0,0
a100,jax,64,8.3,0
a100,jax,16,9.7,0
l4,pytorch,64,5.8,1
l4,pytorch,32,0.8,0
a100,pytorch,256,1.4,0
l4,pytorch,256,1.5,1
l4,pytorch,16,14.7,1
l4,pytorch,16,5.2,0
h100,jax,32,3.6,1
a100,pytorch,256,8.9,0
h100,pytorch,128,13.9,0
a100,pytorch,16,16.7,0
t4,pytorch,16,10.9,0
t4,pytorch,16,9.6,1
a100,pytorch,32,20.9,0
t4,jax,64,4.7,1
h100,pytorch,128,2.6,0
l4,pytorch,128,7.8,1
h100,pytorch,128,3.5,0
t4,jax,32,6.7,1
a100,pytorch,64,6.6,0
a100,pytorch,32,1.4,0
h100,pytorch,256,8.5,0
h100,pytorch,32,6.9,0
a100,pytorch,32,6.1,0
t4,pytorch,64,10.0,0
t4,pytorch,256,8.8,1
l4,pytorch,16,3.1,0
l4,pytorch,32,4.0,0
t4,pytorch,32,4.6,0
h100,pytorch,256,6.4,0
a100,jax,256,5.8,1
t4,jax,128,9.4,1
a100,pytorch,256,2.6,0
h100,pytorch,128,25.8,0
a100,pytorch,16,1.0,0
l4,pytorch,128,5.5,1
t4,pytorch,256,4.2,1
l4,jax,128,21.2,1
t4,jax,32,4.1,1
h100,pytorch,32,6.9,0
a100,pytorch,32,4.2,0
a100,jax,128,10.7,0
a100,jax,64,0.3,0
t4,pytorch,16,8.7,1
a100,jax,64,3.4,1
t4,pytorch,128,2.0,1
a100,pytorch,16,5.8,0
a100,pytorch,256,7.9,1
h100,pytorch,128,9.1,0
a100,pytorch,256,4.4,1
l4,pytorch,64,4.9,0
h100,pytorch,32,0.9,0
h100,pytorch,128,1.5,0
l4,jax,256,5.6,1
t4,pytorch,32,15.7,1
t4,pytorch,64,13.0,1
t4,pytorch,128,5.7,1
t4,pytorch,64,17.1,1
t4,pytorch,32,4.1,0
t4,pytorch,32,4.7,1
h100,pytorch,32,1.0,0
a100,pytorch,64,4.8,0
t4,pytorch,64,15.6,1
l4,pytorch,64,0.7,0
l4,pytorch,16,12.2,1
h100,pytorch,256,10.8,0
h100,pytorch,16,3.8,0
a100,pytorch,128,5.5,0
a100,pytorch,16,7.3,0
a100,jax,16,5.6,0
a100,pytorch,64,10.5,0
a100,jax,128,2.3,0
h100,pytorch,256,1.7,0
h100,jax,64,2.7,0
l4,pytorch,32,1.7,0
a100,pytorch,256,6.2,1
a100,pytorch,16,2.4,0
a100,jax,32,2.2,1
l4,pytorch,128,10.5,1
a100,pytorch,128,11.5,0
t4,pytorch,256,0.6,1
l4,pytorch,64,8.0,0
a100,pytorch,64,0.7,0
h100,pytorch,32,3.5,0
a100,jax,32,4.7,0
a100,pytorch,16,4.2,0
l4,pytorch,64,2.4,1
l4,pytorch,256,3.7,0
t4,pytorch,16,7.7,1
h100,pytorch,16,12.0,0
t4,jax,128,12.7,1
l4,pytorch,32,2.3,0
t4,pytorch,16,9.4,1
t4,jax,64,3.7,1
a100,pytorch,32,7.2,0
h100,pytorch,32,4.0,0
t4,pytorch,64,6.4,1
l4,jax,64,17.7,1
a100,jax,256,6.6,0
a100,jax,16,5.0,0
h100,jax,32,1.4,0
t4,pytorch,128,5.6,1
l4,jax,32,3.0,1
l4,pytorch,64,6.7,0
t4,pytorch,64,5.7,1
a100,pytorch,128,2.3,0
t4,jax,32,1.9,1
h100,pytorch,256,5.0,0
t4,pytorch,32,4.4,1
a100,jax,16,10.3,0
l4,pytorch,128,3.6,1
a100,pytorch,64,14.1,0
t4,pytorch,16,6.4,1
h100,jax,16,2.7,0
l4,pytorch,32,0.9,0
t4,pytorch,32,4.6,1
h100,pytorch,32,4.0,0
h100,pytorch,64,3.8,0
l4,jax,16,3.7,1
h100,pytorch,128,3.9,1
l4,jax,16,4.0,1
h100,jax,16,8.7,0
h100,pytorch,256,4.1,0
h100,pytorch,256,5.2,0
a100,pytorch,64,2.8,0
l4,jax,128,15.6,1
l4,pytorch,128,7.4,1
a100,pytorch,64,6.0,0
t4,pytorch,128,2.5,0
h100,pytorch,256,2.6,0
a100,pytorch,64,10.0,0
h100,pytorch,64,2.7,0
h100,jax,128,3.2,0
a100,pytorch,256,4.7,1
t4,jax,256,8.3,1
l4,jax,256,10.0,1
l4,jax,16,2.2,0
a100,jax,64,2.8,1
l4,pytorch,32,8.4,1
h100,pytorch,256,3.1,0
h100,pytorch,64,1.5,0
a100,pytorch,128,1.7,0
t4,pytorch,64,4.0,0
t4,pytorch,64,2.6,1
l4,jax,128,1.2,1
h100,pytorch,128,4.1,0
h100,pytorch,64,7.1,0
l4,pytorch,256,3.7,1
h100,jax,128,8.4,0
a100,jax,256,0.3,1
h100,jax,128,1.7,0
a100,pytorch,256,12.5,0
h100,jax,64,15.9,0
h100,pytorch,256,5.9,0
h100,pytorch,256,8.9,1
t4,pytorch,64,5.6,1
h100,pytorch,128,5.3,0
t4,jax,16,0.8,1
l4,pytorch,16,6.4,0
h100,pytorch,16,7.9,0
h100,pytorch,32,1.7,0
t4,pytorch,32,13.3,1
a100,pytorch,256,7.7,0
a100,pytorch,16,1.2,0
a100,jax,32,10.2,1
l4,pytorch,64,7.1,0
h100,pytorch,64,4.6,0
h100,pytorch,16,17.9,0
h100,jax,256,3.3,1
h100,jax,32,7.1,0
h100,pytorch,32,7.9,0
a100,pytorch,32,4.9,0
h100,jax,16,2.0,0
t4,jax,256,2.6,1
a100,pytorch,128,5.6,0
h100,pytorch,64,13.8,0
t4,jax,32,4.4,0
t4,pytorch,16,6.8,1
t4,jax,256,2.7,1
a100,jax,128,2.9,1
a100,pytorch,128,8.1,1
h100,pytorch,256,1.7,0
a100,pytorch,128,2.5,0
h100,pytorch,128,6.0,0
l4,pytorch,64,16.2,1
l4,pytorch,16,2.9,0
a100,jax,32,11.6,0
h100,pytorch,256,3.5,0
a100,pytorch,32,4.5,0
h100,pytorch,32,11.8,0
a100,jax,256,11.9,0
a100,pytorch,256,9.4,1
t4,pytorch,16,2.7,1
h100,pytorch,256,0.8,0
h100,jax,128,3.1,0
l4,pytorch,128,3.7,0
l4,jax,128,7.1,0
a100,pytorch,16,8.6,0
h100,pytorch,32,8.9,0
h100,pytorch,32,3.5,0
t4,pytorch,32,7.6,1
a100,pytorch,16,3.3,0
a100,jax,16,1.7,0
a100,pytorch,128,9.7,0
a100,jax,128,0.3,1
a100,jax,16,3.4,0
h100,pytorch,16,7.3,0
t4,pytorch,64,3.5,1
h100,pytorch,32,4.9,0
l4,pytorch,128,5.7,1
